PassengerId,Survived,Pclass,Name,Sex,Age,Fare,Cabin,Embarked,Family
88,0,3,Mr,male,26,8.05,M,S,1
89,1,1,Miss,female,23,263.0,C,S,6
90,0,3,Mr,male,24,8.05,M,S,1
91,0,3,Mr,male,29,8.05,M,S,1
92,0,3,Mr,male,20,7.8542,M,S,1
93,0,1,Mr,male,46,61.175,E,S,2
94,0,3,Mr,male,26,20.575,M,S,4
95,0,3,Mr,male,59,7.25,M,S,1
96,0,3,Mr,male,26,8.05,M,S,1
97,0,1,Mr,male,71,34.6542,A,C,1
98,1,1,Mr,male,23,63.3583,D,C,2
99,1,2,Mrs,female,34,23.0,M,S,2
100,0,2,Mr,male,34,26.0,M,S,2
101,0,3,Miss,female,28,7.8958,M,S,1
102,0,3,Mr,male,26,7.8958,M,S,1
103,0,1,Mr,male,21,77.2875,D,S,2
104,0,3,Mr,male,33,8.6542,M,S,1
105,0,3,Mr,male,37,7.925,M,S,3
106,0,3,Mr,male,28,7.8958,M,S,1
107,1,3,Miss,female,21,7.65,M,S,1
108,1,3,Mr,male,26,7.775,M,S,1
109,0,3,Mr,male,38,7.8958,M,S,1
110,1,3,Miss,female,21,24.15,M,Q,2
111,0,1,Mr,male,47,52.0,C,S,1
112,0,3,Miss,female,14,14.4542,M,C,2
113,0,3,Mr,male,22,8.05,M,S,1
114,0,3,Miss,female,20,9.825,M,S,2
115,0,3,Miss,female,17,14.4583,M,C,1
116,0,3,Mr,male,21,7.925,M,S,1
117,0,3,Mr,male,70,7.75,M,Q,1
118,0,2,Mr,male,29,21.0,M,S,2
119,0,1,Mr,male,24,247.5208,B,C,2
120,0,3,Miss,female,2,31.275,M,S,7
121,0,2,Mr,male,21,73.5,M,S,3
122,0,3,Mr,male,26,8.05,M,S,1
123,0,2,Mr,male,32,30.0708,M,C,2
124,1,2,Miss,female,32,13.0,E,S,1
125,0,1,Mr,male,54,77.2875,D,S,2
126,1,3,Master,male,12,11.2417,M,C,2
127,0,3,Mr,male,26,7.75,M,Q,1
128,1,3,Mr,male,24,7.1417,M,S,1
129,1,3,Miss,female,21,22.3583,F,C,3
130,0,3,Mr,male,45,6.975,M,S,1
131,0,3,Mr,male,33,7.8958,M,C,1
132,0,3,Mr,male,20,7.05,M,S,1
133,0,3,Mrs,female,47,14.5,M,S,2
134,1,2,Mrs,female,29,26.0,M,S,2
135,0,2,Mr,male,25,13.0,M,S,1
136,0,2,Mr,male,23,15.0458,M,C,1
137,1,1,Miss,female,19,26.2833,D,S,3
138,0,1,Mr,male,37,53.1,C,S,2
139,0,3,Mr,male,16,9.2167,M,S,1
140,0,1,Mr,male,24,79.2,B,C,1
141,0,3,Mrs,female,21,15.2458,M,C,3
142,1,3,Miss,female,22,7.75,M,S,1
143,1,3,Mrs,female,24,15.85,M,S,2
144,0,3,Mr,male,19,6.75,M,Q,1
145,0,2,Mr,male,18,11.5,M,S,1
146,0,2,Mr,male,19,36.75,M,S,3
147,1,3,Mr,male,27,7.7958,M,S,1
148,0,3,Miss,female,9,34.375,M,S,5
149,0,2,Mr,male,36,26.0,F,S,3
150,0,2,Other,male,42,13.0,M,S,1
151,0,2,Other,male,51,12.525,M,S,1
152,1,1,Mrs,female,22,66.6,C,S,2
153,0,3,Mr,male,55,8.05,M,S,1
154,0,3,Mr,male,40,14.5,M,S,3
155,0,3,Mr,male,26,7.3125,M,S,1
156,0,1,Mr,male,51,61.3792,M,C,2
157,1,3,Miss,female,16,7.7333,M,Q,1
158,0,3,Mr,male,30,8.05,M,S,1
159,0,3,Mr,male,26,8.6625,M,S,1
160,0,3,Master,male,26,69.55,M,S,11
161,0,3,Mr,male,44,16.1,M,S,2
162,1,2,Mrs,female,40,15.75,M,S,1
163,0,3,Mr,male,26,7.775,M,S,1
164,0,3,Mr,male,17,8.6625,M,S,1
165,0,3,Master,male,1,39.6875,M,S,6
166,1,3,Master,male,9,20.525,M,S,3
167,1,1,Mrs,female,34,55.0,E,S,2
168,0,3,Mrs,female,45,27.9,M,S,6
169,0,1,Mr,male,41,25.925,M,S,1
170,0,3,Mr,male,28,56.4958,M,S,1
171,0,1,Mr,male,61,33.5,B,S,1
172,0,3,Master,male,4,29.125,M,Q,6
173,1,3,Miss,female,1,11.1333,M,S,3
174,0,3,Mr,male,21,7.925,M,S,1
175,0,1,Mr,male,56,30.6958,A,C,1
176,0,3,Mr,male,18,7.8542,M,S,3
177,0,3,Master,male,26,25.4667,M,S,5
178,0,1,Miss,female,50,28.7125,C,C,1
179,0,2,Mr,male,30,13.0,M,S,1
180,0,3,Mr,male,36,0.0,M,S,1
181,0,3,Miss,female,21,69.55,M,S,11
182,0,2,Mr,male,30,15.05,M,C,1
183,0,3,Master,male,9,31.3875,M,S,7
184,1,2,Master,male,1,39.0,F,S,4
185,1,3,Miss,female,4,22.025,M,S,3
186,0,1,Mr,male,41,50.0,A,S,1
187,1,3,Mrs,female,21,15.5,M,Q,2
188,1,1,Mr,male,45,26.55,M,S,1
189,0,3,Mr,male,40,15.5,M,Q,3
190,0,3,Mr,male,36,7.8958,M,S,1
191,1,2,Mrs,female,32,13.0,M,S,1
192,0,2,Mr,male,19,13.0,M,S,1
193,1,3,Miss,female,19,7.8542,M,S,2
194,1,2,Master,male,3,26.0,F,S,3
195,1,1,Mrs,female,44,27.7208,B,C,1
196,1,1,Miss,female,58,146.5208,B,C,1
197,0,3,Mr,male,26,7.75,M,Q,1
198,0,3,Mr,male,42,8.4042,M,S,2
199,1,3,Miss,female,21,7.75,M,Q,1
200,0,2,Miss,female,24,13.0,M,S,1
201,0,3,Mr,male,28,9.5,M,S,1
202,0,3,Mr,male,26,69.55,M,S,11
203,0,3,Mr,male,34,6.4958,M,S,1
204,0,3,Mr,male,45,7.225,M,C,1
205,1,3,Mr,male,18,8.05,M,S,1
206,0,3,Miss,female,2,10.4625,G,S,2
207,0,3,Mr,male,32,15.85,M,S,2
208,1,3,Mr,male,26,18.7875,M,C,1
209,1,3,Miss,female,16,7.75,M,Q,1
210,1,1,Mr,male,40,31.0,A,C,1
211,0,3,Mr,male,24,7.05,M,S,1
212,1,2,Miss,female,35,21.0,M,S,1
213,0,3,Mr,male,22,7.25,M,S,1
214,0,2,Mr,male,30,13.0,M,S,1
215,0,3,Mr,male,26,7.75,M,Q,2
216,1,1,Miss,female,31,113.275,D,C,2
217,1,3,Miss,female,27,7.925,M,S,1
218,0,2,Mr,male,42,27.0,M,S,2
219,1,1,Miss,female,32,76.2917,D,C,1
220,0,2,Mr,male,30,10.5,M,S,1
221,1,3,Mr,male,16,8.05,M,S,1
222,0,2,Mr,male,27,13.0,M,S,1
223,0,3,Mr,male,51,8.05,M,S,1
224,0,3,Mr,male,26,7.8958,M,S,1
225,1,1,Mr,male,38,90.0,C,S,2
226,0,3,Mr,male,22,9.35,M,S,1
227,1,2,Mr,male,19,10.5,M,S,1
228,0,3,Mr,male,20,7.25,M,S,1
229,0,2,Mr,male,18,13.0,M,S,1
230,0,3,Miss,female,21,25.4667,M,S,5
231,1,1,Mrs,female,35,83.475,C,S,2
232,0,3,Mr,male,29,7.775,M,S,1
233,0,2,Mr,male,59,13.5,M,S,1
234,1,3,Miss,female,5,31.3875,M,S,7
235,0,2,Mr,male,24,10.5,M,S,1
236,0,3,Miss,female,21,7.55,M,S,1
237,0,2,Mr,male,44,26.0,M,S,2
238,1,2,Miss,female,8,26.25,M,S,3
239,0,2,Mr,male,19,10.5,M,S,1
240,0,2,Mr,male,33,12.275,M,S,1
241,0,3,Miss,female,21,14.4542,M,C,2
242,1,3,Miss,female,21,15.5,M,Q,2
243,0,2,Mr,male,29,10.5,M,S,1
244,0,3,Mr,male,22,7.125,M,S,1
245,0,3,Mr,male,30,7.225,M,C,1
246,0,1,Mrs,male,44,90.0,C,Q,3
247,0,3,Miss,female,25,7.775,M,S,1
248,1,2,Mrs,female,24,14.5,M,S,3
249,1,1,Mr,male,37,52.5542,D,S,3
250,0,2,Other,male,54,26.0,M,S,2
251,0,3,Mr,male,26,7.25,M,S,1
252,0,3,Mrs,female,29,10.4625,G,S,3
253,0,1,Mr,male,62,26.55,C,S,1
254,0,3,Mr,male,30,16.1,M,S,2
255,0,3,Mrs,female,41,20.2125,M,S,3
256,1,3,Mrs,female,29,15.2458,M,C,3
257,1,1,Mrs,female,34,79.2,M,C,1
258,1,1,Miss,female,30,86.5,B,S,1
259,1,1,Miss,female,35,512.3292,M,C,1
260,1,2,Mrs,female,50,26.0,M,S,2
261,0,3,Mr,male,26,7.75,M,Q,1
262,1,3,Master,male,3,31.3875,M,S,7
263,0,1,Mr,male,52,79.65,E,S,3
264,0,1,Mr,male,40,0.0,B,S,1
265,0,3,Miss,female,21,7.75,M,Q,1
266,0,2,Mr,male,36,10.5,M,S,1
267,0,3,Mr,male,16,39.6875,M,S,6
268,1,3,Mr,male,25,7.775,M,S,2
269,1,1,Mrs,female,58,153.4625,C,S,2
270,1,1,Miss,female,35,135.6333,C,S,1
271,0,1,Mr,male,41,31.0,M,S,1
272,1,3,Mr,male,25,0.0,M,S,1
273,1,2,Mrs,female,41,19.5,M,S,2
274,0,1,Mr,male,37,29.7,C,C,2
275,1,3,Miss,female,21,7.75,M,Q,1
276,1,1,Miss,female,63,77.9583,D,S,2
277,0,3,Miss,female,45,7.75,M,S,1
278,0,2,Mr,male,30,0.0,M,S,1
279,0,3,Master,male,7,29.125,M,Q,6
280,1,3,Mrs,female,35,20.25,M,S,3
281,0,3,Mr,male,65,7.75,M,Q,1
282,0,3,Mr,male,28,7.8542,M,S,1
283,0,3,Mr,male,16,9.5,M,S,1
284,1,3,Mr,male,19,8.05,M,S,1
285,0,1,Mr,male,41,26.0,A,S,1
286,0,3,Mr,male,33,8.6625,M,C,1
287,1,3,Mr,male,30,9.5,M,S,1
288,0,3,Mr,male,22,7.8958,M,S,1
289,1,2,Mr,male,42,13.0,M,S,1
290,1,3,Miss,female,22,7.75,M,Q,1
291,1,1,Miss,female,26,78.85,M,S,1
292,1,1,Mrs,female,19,91.0792,B,C,2
293,0,2,Mr,male,36,12.875,D,C,1
294,0,3,Miss,female,24,8.85,M,S,1
295,0,3,Mr,male,24,7.8958,M,S,1
296,0,1,Mr,male,41,27.7208,M,C,1
297,0,3,Mr,male,23,7.2292,M,C,1
298,0,1,Miss,female,2,151.55,C,S,4
299,1,1,Mr,male,41,30.5,C,S,1
300,1,1,Mrs,female,50,247.5208,B,C,2
301,1,3,Miss,female,21,7.75,M,Q,1
302,1,3,Mr,male,26,23.25,M,Q,3
303,0,3,Mr,male,19,0.0,M,S,1
304,1,2,Miss,female,28,12.35,E,Q,1
305,0,3,Mr,male,26,8.05,M,S,1
306,1,1,Master,male,0,151.55,C,S,4
307,1,1,Miss,female,34,110.8833,M,C,1
308,1,1,Mrs,female,17,108.9,C,C,2
309,0,2,Mr,male,30,24.0,M,C,2
310,1,1,Miss,female,30,56.9292,E,C,1
311,1,1,Miss,female,24,83.1583,C,C,1
312,1,1,Miss,female,18,262.375,B,C,5
313,0,2,Mrs,female,26,26.0,M,S,3
314,0,3,Mr,male,28,7.8958,M,S,1
315,0,2,Mr,male,43,26.25,M,S,3
316,1,3,Miss,female,26,7.8542,M,S,1
317,1,2,Mrs,female,24,26.0,M,S,2
318,0,2,Mrs,male,54,14.0,M,S,1
319,1,1,Miss,female,31,164.8667,C,S,3
320,1,1,Mrs,female,40,134.5,E,C,3
321,0,3,Mr,male,22,7.25,M,S,1
322,0,3,Mr,male,27,7.8958,M,S,1
323,1,2,Miss,female,30,12.35,M,Q,1
324,1,2,Mrs,female,22,29.0,M,S,3
325,0,3,Mr,male,26,69.55,M,S,11
326,1,1,Miss,female,36,135.6333,C,C,1
327,0,3,Mr,male,61,6.2375,M,S,1
328,1,2,Mrs,female,36,13.0,D,S,1
329,1,3,Mrs,female,31,20.525,M,S,3
330,1,1,Miss,female,16,57.9792,B,C,2
331,1,3,Miss,female,21,23.25,M,Q,3
332,0,1,Mr,male,45,28.5,C,S,1
333,0,1,Mr,male,38,153.4625,C,S,2
334,0,3,Mr,male,16,18.0,M,S,3
335,1,1,Mrs,female,34,133.65,M,S,2
336,0,3,Mr,male,26,7.8958,M,S,1
337,0,1,Mr,male,29,66.6,C,S,2
338,1,1,Miss,female,41,134.5,E,C,1
339,1,3,Mr,male,45,8.05,M,S,1
340,0,1,Mr,male,45,35.5,T,S,1
341,1,2,Master,male,2,26.0,F,S,3
342,1,1,Miss,female,24,263.0,C,S,6
343,0,2,Mr,male,28,13.0,M,S,1
344,0,2,Mr,male,25,13.0,M,S,1
345,0,2,Mr,male,36,13.0,M,S,1
346,1,2,Miss,female,24,13.0,F,S,1
347,1,2,Miss,female,40,13.0,M,S,1
348,1,3,Mrs,female,21,16.1,M,S,2
349,1,3,Master,male,3,15.9,M,S,3
350,0,3,Mr,male,42,8.6625,M,S,1
351,0,3,Mr,male,23,9.225,M,S,1
352,0,1,Mr,male,41,35.0,C,S,1
353,0,3,Mr,male,15,7.2292,M,C,3
354,0,3,Mr,male,25,17.8,M,S,2
355,0,3,Mr,male,26,7.225,M,C,1
356,0,3,Mr,male,28,9.5,M,S,1
357,1,1,Miss,female,22,55.0,E,S,2
358,0,2,Miss,female,38,13.0,M,S,1
359,1,3,Miss,female,21,7.8792,M,Q,1
360,1,3,Miss,female,21,7.8792,M,Q,1
361,0,3,Mr,male,40,27.9,M,S,6
362,0,2,Mr,male,29,27.7208,M,C,2
363,0,3,Mrs,female,45,14.4542,M,C,2
364,0,3,Mr,male,35,7.05,M,S,1
365,0,3,Mr,male,26,15.5,M,Q,2
366,0,3,Mr,male,30,7.25,M,S,1
367,1,1,Mrs,female,60,75.25,D,C,2
368,1,3,Mrs,female,21,7.2292,M,C,1
369,1,3,Miss,female,21,7.75,M,Q,1
370,1,1,Miss,female,24,69.3,B,C,1
371,1,1,Mr,male,25,55.4417,E,C,2
372,0,3,Mr,male,18,6.4958,M,S,2
373,0,3,Mr,male,19,8.05,M,S,1
374,0,1,Mr,male,22,135.6333,M,C,1
375,0,3,Miss,female,3,21.075,M,S,5
376,1,1,Mrs,female,34,82.1708,M,C,2
377,1,3,Miss,female,22,7.25,M,S,1
378,0,1,Mr,male,27,211.5,C,C,3
379,0,3,Mr,male,20,4.0125,M,C,1
380,0,3,Mr,male,19,7.775,M,S,1
381,1,1,Miss,female,42,227.525,M,C,1
382,1,3,Miss,female,1,15.7417,M,C,3
383,0,3,Mr,male,32,7.925,M,S,1
384,1,1,Mrs,female,35,52.0,M,S,2
385,0,3,Mr,male,26,7.8958,M,S,1
386,0,2,Mr,male,18,73.5,M,S,1
387,0,3,Master,male,1,46.9,M,S,8
388,1,2,Miss,female,36,13.0,M,S,1
389,0,3,Mr,male,26,7.7292,M,Q,1
390,1,2,Miss,female,17,12.0,M,C,1
391,1,1,Mr,male,36,120.0,B,S,4
392,1,3,Mr,male,21,7.7958,M,S,1
393,0,3,Mr,male,28,7.925,M,S,3
394,1,1,Miss,female,23,113.275,D,C,2
395,1,3,Mrs,female,24,16.7,G,S,3
396,0,3,Mr,male,22,7.7958,M,S,1
397,0,3,Miss,female,31,7.8542,M,S,1
398,0,2,Mr,male,46,26.0,M,S,1
399,0,2,Mrs,male,23,10.5,M,S,1
400,1,2,Mrs,female,28,12.65,M,S,1
401,1,3,Mr,male,39,7.925,M,S,1
402,0,3,Mr,male,26,8.05,M,S,1
403,0,3,Miss,female,21,9.825,M,S,2
404,0,3,Mr,male,28,15.85,M,S,2
405,0,3,Miss,female,20,8.6625,M,S,1
406,0,2,Mr,male,34,21.0,M,S,2
407,0,3,Mr,male,51,7.75,M,S,1
408,1,2,Master,male,3,18.75,M,S,3
409,0,3,Mr,male,21,7.775,M,S,1
410,0,3,Miss,female,21,25.4667,M,S,5
411,0,3,Mr,male,26,7.8958,M,S,1
412,0,3,Mr,male,26,6.8583,M,Q,1
413,1,1,Miss,female,33,90.0,C,Q,2
414,0,2,Mr,male,30,0.0,M,S,1
415,1,3,Mr,male,44,7.925,M,S,1
416,0,3,Mrs,female,21,8.05,M,S,1
417,1,2,Mrs,female,34,32.5,M,S,3
418,1,2,Miss,female,18,13.0,M,S,3
419,0,2,Mr,male,30,13.0,M,S,1
420,0,3,Miss,female,10,24.15,M,S,3
421,0,3,Mr,male,26,7.8958,M,C,1
422,0,3,Mr,male,21,7.7333,M,Q,1
423,0,3,Mr,male,29,7.875,M,S,1
424,0,3,Mrs,female,28,14.4,M,S,3
425,0,3,Mr,male,18,20.2125,M,S,3
426,0,3,Mr,male,26,7.25,M,S,1
427,1,2,Mrs,female,28,26.0,M,S,2
428,1,2,Miss,female,19,26.0,M,S,1
429,0,3,Mr,male,26,7.75,M,Q,1
430,1,3,Mr,male,32,8.05,E,S,1
431,1,1,Mr,male,28,26.55,C,S,1
432,1,3,Mrs,female,21,16.1,M,S,2
433,1,2,Mrs,female,42,26.0,M,S,2
434,0,3,Mr,male,17,7.125,M,S,1
435,0,1,Mr,male,50,55.9,E,S,2
436,1,1,Miss,female,14,120.0,B,S,4
437,0,3,Miss,female,21,34.375,M,S,5
438,1,2,Mrs,female,24,18.75,M,S,6
439,0,1,Mr,male,64,263.0,C,S,6
440,0,2,Mr,male,31,10.5,M,S,1
441,1,2,Mrs,female,45,26.25,M,S,3
442,0,3,Mr,male,20,9.5,M,S,1
443,0,3,Mr,male,25,7.775,M,S,2
444,1,2,Miss,female,28,13.0,M,S,1
445,1,3,Mr,male,26,8.1125,M,S,1
446,1,1,Master,male,4,81.8583,A,S,3
447,1,2,Miss,female,13,19.5,M,S,2
448,1,1,Mr,male,34,26.55,M,S,1
449,1,3,Miss,female,5,19.2583,M,C,4
450,1,1,Mr,male,52,30.5,C,S,1
451,0,2,Mr,male,36,27.75,M,S,4
452,0,3,Mr,male,26,19.9667,M,S,2
453,0,1,Mr,male,30,27.75,C,C,1
454,1,1,Mr,male,49,89.1042,C,C,2
455,0,3,Mr,male,26,8.05,M,S,1
456,1,3,Mr,male,29,7.8958,M,C,1
457,0,1,Mr,male,65,26.55,E,S,1
458,1,1,Mrs,female,34,51.8625,D,S,2
459,1,2,Miss,female,50,10.5,M,S,1
460,0,3,Mr,male,26,7.75,M,Q,1
461,1,1,Mr,male,48,26.55,E,S,1
462,0,3,Mr,male,34,8.05,M,S,1
463,0,1,Mr,male,47,38.5,E,S,1
464,0,2,Mr,male,48,13.0,M,S,1
465,0,3,Mr,male,26,8.05,M,S,1
466,0,3,Mr,male,38,7.05,M,S,1
467,0,2,Mr,male,30,0.0,M,S,1
468,0,1,Mr,male,56,26.55,M,S,1
469,0,3,Mr,male,26,7.725,M,Q,1
470,1,3,Miss,female,0,19.2583,M,C,4
471,0,3,Mr,male,26,7.25,M,S,1
472,0,3,Mr,male,38,8.6625,M,S,1
473,1,2,Mrs,female,33,27.75,M,S,4
474,1,2,Mrs,female,23,13.7917,D,C,1
475,0,3,Miss,female,22,9.8375,M,S,1
476,0,1,Mr,male,41,52.0,A,S,1
477,0,2,Mr,male,34,21.0,M,S,2
478,0,3,Mr,male,29,7.0458,M,S,2
479,0,3,Mr,male,22,7.5208,M,S,1
480,1,3,Miss,female,2,12.2875,M,S,2
481,0,3,Master,male,9,46.9,M,S,8
482,0,2,Mr,male,30,0.0,M,S,1
483,0,3,Mr,male,50,8.05,M,S,1
484,1,3,Mrs,female,63,9.5875,M,S,1
485,1,1,Mr,male,25,91.0792,B,C,2
486,0,3,Miss,female,21,25.4667,M,S,5
487,1,1,Mrs,female,35,90.0,C,S,2
488,0,1,Mr,male,58,29.7,B,C,1
489,0,3,Mr,male,30,8.05,M,S,1
490,1,3,Master,male,9,15.9,M,S,3
491,0,3,Mr,male,26,19.9667,M,S,2
492,0,3,Mr,male,21,7.25,M,S,1
493,0,1,Mr,male,55,30.5,C,S,1
494,0,1,Mr,male,71,49.5042,M,C,1
495,0,3,Mr,male,21,8.05,M,S,1
496,0,3,Mr,male,26,14.4583,M,C,1
497,1,1,Miss,female,54,78.2667,D,C,2
498,0,3,Mr,male,26,15.1,M,S,1
499,0,1,Mrs,female,25,151.55,C,S,4
500,0,3,Mr,male,24,7.7958,M,S,1
501,0,3,Mr,male,17,8.6625,M,S,1
502,0,3,Miss,female,21,7.75,M,Q,1
503,0,3,Miss,female,21,7.6292,M,Q,1
504,0,3,Miss,female,37,9.5875,M,S,1
505,1,1,Miss,female,16,86.5,B,S,1
506,0,1,Mr,male,18,108.9,C,C,2
507,1,2,Mrs,female,33,26.0,M,S,3
508,1,1,Mr,male,41,26.55,M,S,1
509,0,3,Mr,male,28,22.525,M,S,1
510,1,3,Mr,male,26,56.4958,M,S,1
511,1,3,Mr,male,29,7.75,M,Q,1
512,0,3,Mr,male,26,8.05,M,S,1
513,1,1,Mr,male,36,26.2875,E,S,1
514,1,1,Mrs,female,54,59.4,M,C,2
515,0,3,Mr,male,24,7.4958,M,S,1
516,0,1,Mr,male,47,34.0208,D,S,1
517,1,2,Mrs,female,34,10.5,F,S,1
518,0,3,Mr,male,26,24.15,M,Q,1
519,1,2,Mrs,female,36,26.0,M,S,2
520,0,3,Mr,male,32,7.8958,M,S,1
521,1,1,Miss,female,30,93.5,B,S,1
522,0,3,Mr,male,22,7.8958,M,S,1
523,0,3,Mr,male,26,7.225,M,C,1
524,1,1,Mrs,female,44,57.9792,B,C,2
525,0,3,Mr,male,26,7.2292,M,C,1
526,0,3,Mr,male,40,7.75,M,Q,1
527,1,2,Miss,female,50,10.5,M,S,1
528,0,1,Mr,male,41,221.7792,C,S,1
529,0,3,Mr,male,39,7.925,M,S,1
530,0,2,Mr,male,23,11.5,M,S,4
531,1,2,Miss,female,2,26.0,M,S,3
532,0,3,Mr,male,26,7.2292,M,C,1
533,0,3,Mr,male,17,7.2292,M,C,3
534,1,3,Mrs,female,21,22.3583,M,C,3
535,0,3,Miss,female,30,8.6625,M,S,1
536,1,2,Miss,female,7,26.25,M,S,3
537,0,1,Mr,male,45,26.55,B,S,1
538,1,1,Miss,female,30,106.425,M,C,1
539,0,3,Mr,male,26,14.5,M,S,1
540,1,1,Miss,female,22,49.5,B,C,3
541,1,1,Miss,female,36,71.0,B,S,3
542,0,3,Miss,female,9,31.275,M,S,7
543,0,3,Miss,female,11,31.275,M,S,7
544,1,2,Mr,male,32,26.0,M,S,2
545,0,1,Mr,male,50,106.425,C,C,2
546,0,1,Mr,male,64,26.0,M,S,1
547,1,2,Mrs,female,19,26.0,M,S,2
548,1,2,Mr,male,30,13.8625,M,C,1
549,0,3,Mr,male,33,20.525,M,S,3
550,1,2,Master,male,8,36.75,M,S,3
551,1,1,Mr,male,17,110.8833,C,C,3
552,0,2,Mr,male,27,26.0,M,S,1
553,0,3,Mr,male,26,7.8292,M,Q,1
554,1,3,Mr,male,22,7.225,M,C,1
555,1,3,Miss,female,22,7.775,M,S,1
556,0,1,Mr,male,62,26.55,M,S,1
557,1,1,Mrs,female,48,39.6,A,C,2
558,0,1,Mr,male,41,227.525,M,C,1
559,1,1,Mrs,female,39,79.65,E,S,3
560,1,3,Mrs,female,36,17.4,M,S,2
561,0,3,Mr,male,26,7.75,M,Q,1
562,0,3,Mr,male,40,7.8958,M,S,1
563,0,2,Mr,male,28,13.5,M,S,1
564,0,3,Mr,male,26,8.05,M,S,1
565,0,3,Miss,female,21,8.05,M,S,1
566,0,3,Mr,male,24,24.15,M,S,3
567,0,3,Mr,male,19,7.8958,M,S,1
